Wall time,Step,Value
1712356151.5884175,73807,-974.4299926757812
1712356153.9973986,73885,-974.469970703125
1712356155.8899806,73945,-964.5999755859375
1712356158.0550697,74016,-964.489990234375
1712356160.18426,74084,-954.4600219726562
1712356162.4261148,74153,-954.3900146484375
1712356164.41613,74216,-954.4199829101562
1712356170.76717,74441,-934.22998046875
1712356173.569835,74535,-944.5399780273438
1712356175.7377694,74606,-944.3699951171875
1712356177.974174,74677,-944.219970703125
1712356180.3632617,74756,-934.260009765625
1712356183.0030167,74843,-944.0700073242188
1712356185.1008227,74909,-934.3099975585938
1712356186.9321096,74967,-924.3900146484375
1712356188.8789928,75029,-924.5
1712356191.1688113,75104,-924.4600219726562
1712356193.2693849,75171,-914.510009765625
1712356195.6430688,75247,-904.3300170898438
1712356197.6623266,75310,-904.3699951171875
1712356199.7842033,75380,-904.2899780273438
1712356202.2951365,75463,-903.989990234375
1712356204.3771327,75529,-894.0499877929688
1712356206.294577,75589,-894.219970703125
1712356208.4420812,75657,-894.2100219726562
1712356210.588107,75725,-894.3099975585938
1712356212.6410806,75789,-894.4299926757812
1712356214.7559128,75857,-894.3400268554688
1712356216.5062366,75912,-894.510009765625
1712356218.184107,75961,-904.6599731445312
1712356220.3134217,76029,-904.739990234375
1712356222.4046726,76097,-904.739990234375
1712356224.2330313,76153,-925.0999755859375
1712356226.4304197,76224,-915.0599975585938
1712356228.9058871,76305,-914.9600219726562
1712356231.4798377,76391,-914.8099975585938
1712356234.5395317,76492,-925.0
1712356236.680548,76561,-925.1900024414062
1712356238.6161475,76623,-935.27001953125
1712356240.522611,76681,-945.2999877929688
1712356242.7584593,76753,-945.1199951171875
1712356244.6378,76812,-945.27001953125
1712356246.9073372,76885,-945.22998046875
1712356249.191835,76958,-955.2899780273438
1712356251.310709,77028,-945.2100219726562
1712356253.5321293,77097,-945.25
1712356255.5492964,77161,-945.4000244140625
1712356257.5246005,77223,-955.47998046875
1712356259.609849,77291,-945.3800048828125
1712356261.7307377,77357,-935.3599853515625
1712356264.0649269,77433,-935.239990234375
1712356266.2138474,77503,-935.2000122070312
1712356268.5980487,77581,-945.1400146484375
1712356270.9394174,77658,-944.8900146484375
1712356273.8606317,77753,-944.4500122070312
1712356276.6790626,77846,-944.1900024414062
1712356281.0408516,77997,-943.7999877929688
1712356283.4679127,78076,-943.5499877929688
1712356286.1028829,78165,-953.3900146484375
1712356289.1338086,78268,-933.1400146484375
1712356291.946802,78361,-933.0900268554688
1712356295.2643335,78473,-932.5499877929688
1712356297.6347165,78549,-932.47998046875
1712356300.8736508,78659,-931.969970703125
1712356303.2883441,78738,-931.760009765625
1712356306.005855,78829,-921.5900268554688
1712356308.560964,78913,-921.3599853515625
1712356311.1352134,78997,-931.3599853515625
1712356313.9570444,79090,-931.1300048828125
1712356317.4061213,79205,-930.6599731445312
1712356320.3241925,79304,-920.3099975585938
1712356322.879299,79391,-920.0999755859375
1712356325.9537761,79493,-909.6400146484375
1712356328.3441527,79571,-919.5800170898438
1712356330.9028318,79653,-929.4299926757812
1712356333.6891959,79747,-929.260009765625
1712356336.7875493,79849,-928.9299926757812
1712356339.603022,79942,-918.75
1712356342.9297915,80053,-918.47998046875
1712356346.4825573,80173,-918.25
1712356348.7523615,80245,-918.4099731445312
1712356350.397185,80296,-918.9500122070312
1712356351.8677943,80340,-919.1300048828125
1712356354.8417227,80437,-909.02001953125
1712356357.4107416,80523,-919.1500244140625
1712356360.2515187,80618,-919.0999755859375
1712356362.8967612,80705,-919.3699951171875
1712356365.4957259,80791,-919.6500244140625
1712356368.664259,80897,-919.780029296875
1712356371.0803204,80976,-919.7899780273438
1712356374.0460198,81073,-929.7899780273438
1712356377.2659895,81181,-929.5700073242188
1712356380.7216227,81297,-929.4299926757812
1712356383.7260146,81400,-919.3300170898438
1712356386.1575315,81480,-929.719970703125
1712356388.927735,81569,-939.9600219726562
1712356392.8420048,81701,-939.97998046875
1712356395.5273945,81789,-950.1500244140625
1712356398.111225,81874,-940.0599975585938
1712356400.915893,81968,-939.989990234375
1712356403.352985,82045,-930.1599731445312
1712356408.243726,82216,-930.1699829101562
1712356411.7625818,82333,-939.9600219726562
1712356414.237157,82413,-930.27001953125
1712356417.2040348,82512,-930.5399780273438
1712356420.7579064,82630,-930.489990234375
1712356423.9687383,82739,-929.9600219726562
1712356426.4604325,82821,-929.8599853515625
1712356428.7016401,82893,-940.1199951171875
1712356431.0368638,82971,-950.2899780273438
1712356433.6363595,83054,-950.489990234375
1712356436.2275956,83139,-950.52001953125
1712356438.8137462,83223,-950.1699829101562
1712356441.143713,83300,-930.3499755859375
1712356443.918046,83392,-920.260009765625
1712356446.6837018,83481,-920.25
1712356449.0528107,83560,-920.5800170898438
1712356451.0206726,83621,-920.8699951171875
1712356454.916918,83755,-931.3099975585938
1712356457.7721357,83849,-931.1900024414062
1712356460.62603,83944,-931.0
1712356463.3767738,84035,-930.9199829101562
1712356468.3429415,84205,-931.0599975585938
1712356471.494463,84310,-930.8900146484375
1712356474.1860473,84400,-930.9099731445312
1712356476.9135687,84489,-940.8099975585938
